module	sub category 1	sub category 2	sub category 3	sub category 4	has descriptor	ontology ID	label	prefered label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master parameter	Entity subset	category subset
						ID	AL rdfs:label@en	AL IAO:0000111@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
organismal						BSM:0050000	organismal	organismal					Root node for organismal module.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	organism					OBI:0100026	organism	organism	organismal											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	specimen					OBI:0100051	specimen	specimen	organismal											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	specimen	individual organism specimen				OBI:0002648	individual organism specimen	individual organism specimen	specimen											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	specimen	specimen from organism				OBI:0001479	specimen from organism	specimen from organism	specimen											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	specimen	biomaterial specimen				BSM:0050020	biomaterial specimen	biomaterial specimen	specimen	biomass specimen |organic material specimen			A sample that is comprised predominately of living (or decomposing) material; for use when more specific information on composition of sample is not provided.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	cell					COB:0000017	cell	cell	organismal				A material entity that has a plasma membrane and results from cellular division.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class					BSM:0050001	trophic class	trophic class	organismal				"An organismal grouping baised on how a living entity acquires or generates food and energy from a living, dead, or non-living entity."		"In ECOCORE these are direct subclasses to organism OBI:0100026, we could do that here if desired."					http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	autotroph				ECOCORE:00000023	autotroph	autotroph	trophic class											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	autotroph	chemoautotroph			ECOCORE:00000129	chemoautotroph	chemoautotroph	autotroph											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	autotroph	photoautotroph			ECOCORE:00000130	photoautotroph	photoautotroph	autotroph											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	heterotroph				ECOCORE:00000010	heterotroph	heterotroph	trophic class						ECOCORE has more subclasses that could be imported.					http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	heterotroph	"chemoheterotroph
"			ECOCORE:00000132	"chemoheterotroph
"	"chemoheterotroph
"	heterotroph											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	heterotroph	carnivore			ECOCORE:00000088	carnivore	carnivore	heterotroph											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	mixotroph				ECOCORE:00000012	mixotroph	mixotroph	trophic class				An organism that obtains carbon for growth and development by a combination of heterotrophy (metabolizing biogenic organic compounds derived from living or dead material ) and autotrophy (capable of incorporating inorganic carbon into its biomass).							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	aerobe				ECOCORE:00000173	aerobe	aerobe	trophic class											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	aerobe	microaerophile			ECOCORE:00000180	microaerophile	microaerophile	aerobe											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	aerobe	obligate aerobe			ECOCORE:00000179	obligate aerobe	obligate aerobe	aerobe											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	anaerobe				ECOCORE:00000172	anaerobe	anaerobe	trophic class											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	anaerobe	aerotolerant anaerobe			ECOCORE:00000181	aerotolerant anaerobe	aerotolerant anaerobe	anaerobe											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	anaerobe	facultative anaerobe			ECOCORE:00000177	facultative anaerobe	facultative anaerobe	anaerobe											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	trophic class	anaerobe	obligate anaerobe			ECOCORE:00000178	obligate anaerobe	obligate anaerobe	anaerobe											http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification					BSM:0050002	informal classification	informal classification	organismal				The classification groups of biological organisms based on shared characteristics that are not part of a rigorous taxonomic framework.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton size				BSM:0050003	plankton size	plankton size	informal classification				Classification by planktonic size range.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton size	Femtoplankton			BSM:0050004	Femtoplankton	Femtoplankton	plankton size				Plankton classification by size range: <0.2 um (viruses).							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton size	Picoplankton			BSM:0050005	Picoplankton	Picoplankton	plankton size				"Plankton classification by size range: 0.2-2.0 um (bacteria, very small Eukaryotes)."							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton size	Nanoplankton			BSM:0050006	Nanoplankton	Nanoplankton	plankton size				"Plankton classification by size range: 2-20 um (diatoms, dinoflagellates, protozoa)."							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton size	Microplankton			BSM:0050007	Microplankton	Microplankton	plankton size				"Plankton classification by size range: 20-200 um (diatoms, dinoflagellates, protozoa, copepod nauplii, etc.)."							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton size	Mesoplankton			BSM:0050008	Mesoplankton	Mesoplankton	plankton size				Plankton classification by size range: 0.2-20 mm (mostly zooplankton).							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton size	Macroplankton			BSM:0050009	Macroplankton	Macroplankton	plankton size				Plankton classification by size range: 2-20 cm.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton group	plankton group			BSM:0050010	plankton group	plankton group	informal classification				Plankton classification by general functional group.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton group	zooplankton			BSM:0050011	zooplankton	zooplankton	plankton group				Plankton consisting of small animals and the immature stages of larger animals.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton group	phytoplankton			BSM:0050012	phytoplankton	phytoplankton	plankton group				Plankton consisting of small (mainly microscopic) photosynthetic organisms.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	plankton group	ciliate			BSM:0050013	ciliate	ciliate	plankton group				Plankton consisting of single-celled protozoa with cilia.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	common name				BSM:0050014	common name	common name	informal classification	subject organism common name	GENEPIO:0001724		"The natural language (non-taxonomic) name of the type of organism that is the subject of a given investigation, study and/or specimen."							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	common name	fish			BSM:0050015	fish	fish	common name			FOODON:03411222	A limbless cold-blooded vertebrate animal with gills and fins and living wholly in water.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	common name	diazotroph			BSM:0050016	diazotroph	diazotroph	common name				An organism capable of nitrogen fixation (conversion of atmospheric dinitrogen into bioavailable forms).	Part of NCBITaxon:1117	Could be added to ECOCORE.					http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	informal classification	common name	diazotroph	heterocyst-forming diazotroph		BSM:0050017	heterocyst-forming diazotroph	heterocyst-forming diazotroph	diazotroph				An organism which uses heterocycts for nitrogen fixation (conversion of atmospheric dinitrogen into bioavailable forms).	Part of NCBITaxon:1117						http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy					BSM:0050018	taxonomy	taxonomy	organismal			data:3028	The classification groups of biological organisms based on shared characteristics.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank				http://purl.obolibrary.org/obo/NCBITaxon#_taxonomic_rank	taxonomic rank	taxonomic rank	taxonomy	taxon level		data:1868	The relative level of a group of organisms in a taxonomic hierarchy.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	domain			NCBITaxon:superkingdom	domain	domain	taxonomic rank	superkingdom|realm|empire			A taxonomic rank which is the broadest unit of classification.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	kingdom			NCBITaxon:kingdom	kingdom	kingdom	taxonomic rank				A taxonomic rank which is classified above phylum and below domain.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	phylum			NCBITaxon:phylum	phylum	phylum	taxonomic rank				A taxonomic rank which is classified above class and below kingdom.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	class			NCBITaxon:class	class	class	taxonomic rank				A taxonomic rank which is classified above order and below phylum.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	order			NCBITaxon:order	order	order	taxonomic rank				A taxonomic rank which is classified above family and below class.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	family			NCBITaxon:family	family	family	taxonomic rank				A taxonomic rank which is classified above genus and below order.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	genus			NCBITaxon:genus	genus	genus	taxonomic rank				A taxonomic rank which is classified above species and below family.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic rank	species			NCBITaxon:species	species	species	taxonomic rank				A taxonomic rank which is most basic or specific unit of classification.							http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	WoRMS ID				BSM:0050019	WoRMS ID	WoRMS ID	taxonomy				Taxonomic classification of organisms as described by unique identifiers within the World Register of Marine Species (WoRMS) taxonomic classification database.		Future direction to make OBO compliant IDs for WoRMS					http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	NCBI taxonomy ID				BSM:0050021	NCBI taxonomy ID	NCBI taxonomy ID	taxonomy			data:1179	Taxonomic classification of organisms as described by unique identifiers within the National Center for Biotechnology Information (NCBI) taxonomy database.		Cross listed in external repositories? Perhaps better to import relevant NCBITaxon subclasses and add them here.					http://bcodmo/sm#biology	http://bcodmo/sm#organism
organismal	taxonomy	taxonomic lineage				NCBITaxon:1	taxonomic lineage	taxonomic lineage	taxonomy				The root of the combined NCBI and WoRMS taxonomic hierarchy.							http://bcodmo/sm#biology	http://bcodmo/sm#organism